company,role_title,function_raw,seniority_raw,location,posted_days_ago,salary_range
Anthropic,GTM Strategy Lead,Strategy,Senior,Remote,1,
Rockstar Games,Business Development Manager,BizDev,Manager,New York,2,140000-170000
Netflix,Product Marketing Manager,PMM,Manager,Los Angeles,0,
Stripe,Corporate Strategy Associate,Strategy,Associate,Remote,1,90000-110000
Chevron,Manager Corporate Development,Finance,Manager,Houston,3,
Roblox,Growth Strategy Manager,Strategy,Manager,San Mateo,1,
DraftKings,Director of Partnerships,BizDev,Director,Boston,0,
Notion,Customer Success Manager,CS,Manager,Remote,2,
Riot Games,Senior Manager GTM,GTM,Senior Manager,Los Angeles,4,
Salesforce,VP Corporate Strategy,Strategy,VP,San Francisco,1,
Epic Games,Business Operations Manager,Strategy,Manager,Cary NC,2,
NextEra Energy,Manager GTM Insights,GTM,Manager,Houston,5,
Take-Two Interactive,Product Manager,Product,Manager,New York,3,
Discord,Strategy & Ops Lead,Strategy,Senior,Remote,0,
Databricks,Software Engineer,Engineering,Senior,Remote,1,
